[LOG] System::create                           : Header version = 2.01.09. Current version = 2.01.09.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20109 (115889), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 00000253C9A7ACF8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] SoundI::release                          :  (000002565CEE4938)
[LOG] SoundI::release                          :     Shot (00000255AF50B828)
[LOG] SoundI::release                          :  (000002565CEE3968)
[LOG] SoundI::release                          :     Grenade Explosion - Sound Effect (00000255AF50B4E8)
[LOG] SoundI::release                          :  (000002565CEE44E8)
[LOG] SoundI::release                          :     game jam soundz (00000255AF508F88)
[LOG] SoundI::release                          :  (000002565CEE47C8)
[LOG] SoundI::release                          :     Cymatics - Terror Closed Hi Hat 015 (00000255AF509468)
[WRN] PlaybackSystem::onDestroyEvent           : Destroying event instance '200440' due to event description {7c7a2d74-b7de-45ae-93f1-207012eef425} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '209d40' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '209e40' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '209f40' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a040' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a140' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a240' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a340' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a440' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a540' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a640' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a740' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a840' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20a940' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20aa40' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
[WRN] EventFactory::destroy                    : Destroying partially constructed event instance '20ab40' due to event description {cc7b84b9-bf25-4fa0-9812-df7f484ae609} unload
